y,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day)
21.26,277.0 ,0.0 ,0.0 ,191.0 ,0.0 ,968.0 ,856 ,14.00 
24.54,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,758 ,28.00 
12.25,200.0 ,0.0 ,0.0 ,180.0 ,0.0 ,1125.0 ,845 ,28.00 
36.64,251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,758 ,56.00 
39.3,446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712 ,7.00 
35.23,139.7 ,163.9 ,127.7 ,236.7 ,5.8 ,868.6 ,656 ,28.00 
13.18,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,786 ,3.00 
12.54,307.0 ,0.0 ,0.0 ,193.0 ,0.0 ,968.0 ,812 ,3.00 
15.61,213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,772 ,3.00 
33.08,397.0 ,0.0 ,0.0 ,185.7 ,0.0 ,1040.6 ,734 ,28.00 
23.51,168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796 ,14.00 
64.9,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,804 ,56.00 
16.26,331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,978.0 ,825 ,7.00 
30.28,332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,7.00 
60.95,252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889 ,100.00 
74.5,389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,756 ,28.00 
22.32,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,758 ,14.00 
8,186.2 ,124.1 ,0.0 ,185.7 ,0.0 ,1083.4 ,764 ,7.00 
15.04,190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804 ,3.00 
13.46,150.7 ,0.0 ,185.3 ,166.7 ,15.6 ,1074.5 ,678 ,28.00 
30.44,200.0 ,133.0 ,0.0 ,192.0 ,0.0 ,965.4 ,806 ,28.00 
41.54,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,90.00 
67.7,286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,804 ,28.00 
37.68,172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856 ,100.00 
39.59,238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847 ,56.00 
18.42,236.0 ,0.0 ,0.0 ,194.0 ,0.0 ,968.0 ,885 ,28.00 
33.7,277.0 ,0.0 ,0.0 ,191.0 ,0.0 ,968.0 ,856 ,360.00 
61.46,387.0 ,20.0 ,94.0 ,157.0 ,11.6 ,938.0 ,845 ,56.00 
52.91,380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,90.00 
34.9,388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,926 ,7.00 
23.89,167.0 ,187.0 ,195.0 ,185.0 ,7.0 ,898.0 ,636 ,28.00 
21.95,236.0 ,0.0 ,0.0 ,194.0 ,0.0 ,968.0 ,885 ,90.00 
32.72,145.9 ,230.5 ,0.0 ,202.5 ,3.4 ,827.0 ,872 ,28.00 
21.91,297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,754 ,3.00 
47.22,500.0 ,0.0 ,0.0 ,200.0 ,0.0 ,1125.0 ,613 ,90.00 
45.3,310.0 ,143.0 ,0.0 ,168.0 ,10.0 ,914.0 ,804 ,28.00 
26.05,218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,795 ,14.00 
41.37,516.0 ,0.0 ,0.0 ,162.0 ,8.3 ,801.0 ,802 ,28.00 
71.7,439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,708 ,56.00 
75.5,401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852 ,91.00 
11.58,222.4 ,0.0 ,96.7 ,189.3 ,4.5 ,967.1 ,870 ,3.00 
35.86,298.0 ,0.0 ,107.0 ,164.0 ,13.0 ,953.0 ,784 ,28.00 
32.72,349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,806 ,28.00 
35.3,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,3.00 
23.84,300.0 ,0.0 ,120.0 ,212.0 ,10.0 ,878.0 ,728 ,28.00 
7.84,200.0 ,0.0 ,0.0 ,180.0 ,0.0 ,1125.0 ,845 ,7.00 
36.45,380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,28.00 
40.66,349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1056.0 ,809 ,90.00 
55.65,397.0 ,17.2 ,158.0 ,167.0 ,20.8 ,967.0 ,633 ,28.00 
22.5,290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865 ,3.00 
14.8,295.0 ,0.0 ,0.0 ,185.0 ,0.0 ,1069.0 ,769 ,7.00 
8.49,250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857 ,3.00 
68.75,359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801 ,56.00 
54.32,480.0 ,0.0 ,0.0 ,192.0 ,0.0 ,936.2 ,712 ,90.00 
37.42,382.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1047.0 ,739 ,28.00 
55.55,385.0 ,0.0 ,136.0 ,158.0 ,20.0 ,903.0 ,768 ,28.00 
64.9,374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,757 ,91.00 
39.45,160.0 ,250.0 ,0.0 ,168.0 ,12.0 ,1049.0 ,688 ,28.00 
67.31,540.0 ,0.0 ,0.0 ,173.0 ,0.0 ,1125.0 ,613 ,28.00 
19.35,250.2 ,166.8 ,0.0 ,203.5 ,0.0 ,977.6 ,694 ,7.00 
39.6,393.0 ,0.0 ,0.0 ,192.0 ,0.0 ,940.6 ,786 ,28.00 
13.4,284.0 ,15.0 ,141.0 ,179.0 ,5.5 ,842.0 ,801 ,3.00 
54.9,379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605 ,56.00 
41.54,264.5 ,111.0 ,86.5 ,195.5 ,5.9 ,832.6 ,790 ,28.00 
30.22,218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,795 ,28.00 
42.64,298.1 ,0.0 ,107.0 ,186.4 ,6.1 ,879.0 ,815 ,28.00 
33.8,255.3 ,98.8 ,77.0 ,188.6 ,6.5 ,919.0 ,749 ,28.00 
47.13,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,786 ,56.00 
54.77,446.0 ,24.0 ,79.0 ,162.0 ,10.3 ,967.0 ,712 ,56.00 
39.32,192.0 ,288.0 ,0.0 ,192.0 ,0.0 ,929.8 ,716 ,28.00 
36.56,165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,901 ,56.00 
25.42,239.6 ,359.4 ,0.0 ,185.7 ,0.0 ,941.6 ,664 ,7.00 
10.39,141.3 ,212.0 ,0.0 ,203.5 ,0.0 ,971.8 ,749 ,7.00 
17.54,238.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1119.0 ,789 ,28.00 
17.24,255.5 ,170.3 ,0.0 ,185.7 ,0.0 ,1026.6 ,724 ,7.00 
28.8,313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,612 ,3.00 
78.8,451.0 ,0.0 ,0.0 ,165.0 ,11.3 ,1030.0 ,745 ,28.00 
19.2,393.0 ,0.0 ,0.0 ,192.0 ,0.0 ,940.6 ,786 ,3.00 
43.57,166.8 ,250.2 ,0.0 ,203.5 ,0.0 ,975.6 ,693 ,90.00 
55.9,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,7.00 
59.89,337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,756 ,56.00 
11.65,289.0 ,0.0 ,0.0 ,192.0 ,0.0 ,913.2 ,895 ,3.00 
41.24,331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,978.0 ,825 ,360.00 
15.57,151.0 ,0.0 ,184.0 ,167.0 ,12.0 ,991.0 ,772 ,28.00 
33.19,122.6 ,183.9 ,0.0 ,203.5 ,0.0 ,958.2 ,800 ,90.00 
44.28,194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,902 ,100.00 
51.86,203.5 ,305.3 ,0.0 ,203.5 ,0.0 ,963.4 ,630 ,90.00 
39.61,212.1 ,0.0 ,121.6 ,180.3 ,5.7 ,1057.6 ,779 ,100.00 
82.6,389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,756 ,91.00 
38.77,275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,778 ,14.00 
15.05,349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,807 ,3.00 
74.17,540.0 ,0.0 ,0.0 ,173.0 ,0.0 ,1125.0 ,613 ,270.00 
31.84,339.0 ,0.0 ,0.0 ,185.0 ,0.0 ,1069.0 ,754 ,28.00 
61.86,491.0 ,26.0 ,123.0 ,201.0 ,3.9 ,822.0 ,699 ,56.00 
45.37,181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,778 ,100.00 
40.56,380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,90.00 
43.8,287.3 ,120.5 ,93.9 ,187.6 ,9.2 ,904.4 ,696 ,28.00 
42.03,249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889 ,56.00 
48.85,393.0 ,0.0 ,0.0 ,192.0 ,0.0 ,940.6 ,786 ,90.00 
23.79,154.8 ,183.4 ,0.0 ,193.3 ,9.1 ,877.2 ,868 ,28.00 
32.96,149.5 ,236.0 ,0.0 ,175.8 ,12.6 ,846.8 ,893 ,28.00 
55.9,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,7.00 
59,356.0 ,119.0 ,0.0 ,160.0 ,9.0 ,1061.0 ,657 ,28.00 
6.28,116.0 ,173.0 ,0.0 ,192.0 ,0.0 ,909.8 ,892 ,3.00 
22.75,387.0 ,20.0 ,94.0 ,157.0 ,14.3 ,938.0 ,845 ,3.00 
24.1,236.0 ,0.0 ,0.0 ,193.0 ,0.0 ,968.0 ,885 ,180.00 
44.87,336.5 ,0.0 ,0.0 ,181.9 ,3.4 ,985.8 ,817 ,28.00 
30.23,238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847 ,28.00 
16.89,157.0 ,236.0 ,0.0 ,192.0 ,0.0 ,935.4 ,781 ,7.00 
9.13,198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,826 ,3.00 
27.83,310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1012.0 ,830 ,28.00 
33.69,310.0 ,143.0 ,111.0 ,168.0 ,22.0 ,914.0 ,651 ,28.00 
56.62,330.5 ,169.6 ,0.0 ,194.9 ,8.1 ,811.0 ,802 ,28.00 
42.29,252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889 ,14.00 
40.29,424.0 ,22.0 ,132.0 ,168.0 ,8.9 ,822.0 ,750 ,7.00 
47.74,212.6 ,0.0 ,100.4 ,159.4 ,10.4 ,1003.8 ,904 ,100.00 
32.53,183.9 ,122.6 ,0.0 ,203.5 ,0.0 ,959.2 ,800 ,90.00 
6.81,212.0 ,141.3 ,0.0 ,203.5 ,0.0 ,973.4 ,750 ,3.00 
39.58,393.0 ,0.0 ,0.0 ,192.0 ,0.0 ,940.0 ,758 ,28.00 
24,382.0 ,0.0 ,0.0 ,185.0 ,0.0 ,1047.0 ,739 ,7.00 
56.63,214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,781 ,100.00 
29.41,156.0 ,178.0 ,187.0 ,221.0 ,7.0 ,854.0 ,614 ,28.00 
35.87,298.1 ,0.0 ,107.5 ,163.6 ,12.8 ,953.2 ,784 ,28.00 
36.99,297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,754 ,14.00 
54.38,304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,270.00 
21.07,158.8 ,238.2 ,0.0 ,185.7 ,0.0 ,1040.6 ,734 ,28.00 
66.42,246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,801 ,100.00 
71.99,485.0 ,0.0 ,0.0 ,146.0 ,0.0 ,1120.0 ,800 ,28.00 
29.89,141.3 ,212.0 ,0.0 ,203.5 ,0.0 ,971.8 ,749 ,28.00 
35.3,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,3.00 
28.3,323.7 ,282.8 ,0.0 ,183.8 ,10.3 ,942.7 ,660 ,3.00 
34.56,233.8 ,0.0 ,94.6 ,197.9 ,4.6 ,947.0 ,852 ,100.00 
35.17,339.0 ,0.0 ,0.0 ,197.0 ,0.0 ,968.0 ,781 ,90.00 
37.36,156.0 ,243.0 ,0.0 ,180.0 ,11.0 ,1022.0 ,698 ,28.00 
24.92,250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861 ,14.00 
25.22,295.8 ,0.0 ,0.0 ,185.7 ,0.0 ,1091.4 ,769 ,28.00 
6.88,133.0 ,200.0 ,0.0 ,192.0 ,0.0 ,927.4 ,839 ,3.00 
20.08,230.0 ,0.0 ,118.3 ,195.5 ,4.6 ,1029.4 ,759 ,14.00 
52.82,280.0 ,129.0 ,100.0 ,172.0 ,9.0 ,825.0 ,805 ,28.00 
33.27,251.4 ,0.0 ,118.3 ,192.9 ,5.8 ,1043.6 ,754 ,28.00 
40.23,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,786 ,28.00 
72.1,424.0 ,22.0 ,132.0 ,168.0 ,8.9 ,822.0 ,750 ,28.00 
23.84,299.8 ,0.0 ,119.8 ,211.5 ,9.9 ,878.2 ,728 ,28.00 
50.94,173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,747 ,100.00 
43.39,194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,902 ,56.00 
52.2,379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605 ,28.00 
23.8,275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,778 ,3.00 
35.96,218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,793 ,14.00 
69.66,540.0 ,0.0 ,0.0 ,173.0 ,0.0 ,1125.0 ,613 ,90.00 
33.4,318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880 ,7.00 
49.9,337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,756 ,28.00 
15.42,143.6 ,0.0 ,174.9 ,158.4 ,17.9 ,942.7 ,845 ,28.00 
35.23,295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859 ,14.00 
35.08,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,7.00 
24.28,194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,902 ,14.00 
44.28,276.0 ,116.0 ,90.0 ,180.0 ,9.0 ,870.0 ,768 ,28.00 
38.02,446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712 ,7.00 
22.35,116.0 ,173.0 ,0.0 ,192.0 ,0.0 ,909.8 ,892 ,28.00 
32.9,167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770 ,14.00 
26.97,136.0 ,196.0 ,98.0 ,199.0 ,6.0 ,847.0 ,783 ,28.00 
12.73,250.0 ,0.0 ,0.0 ,182.0 ,0.0 ,1100.0 ,820 ,7.00 
52.83,279.8 ,128.9 ,100.4 ,172.4 ,9.5 ,825.1 ,805 ,28.00 
37.92,166.0 ,259.7 ,0.0 ,183.2 ,12.7 ,858.8 ,827 ,28.00 
40.87,355.9 ,0.0 ,141.6 ,193.3 ,11.0 ,801.4 ,778 ,28.00 
44.09,500.0 ,0.0 ,0.0 ,200.0 ,0.0 ,1125.0 ,613 ,28.00 
35.76,310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1012.0 ,830 ,90.00 
37.33,310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,970.0 ,850 ,180.00 
25.02,446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712 ,3.00 
52.52,380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,365.00 
50.6,252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889 ,28.00 
20.77,322.0 ,0.0 ,0.0 ,203.0 ,0.0 ,974.0 ,800 ,14.00 
41.54,265.0 ,111.0 ,86.0 ,195.0 ,6.0 ,833.0 ,790 ,28.00 
36.35,152.0 ,178.0 ,139.0 ,168.0 ,18.0 ,944.0 ,695 ,28.00 
46.25,289.0 ,133.7 ,0.0 ,194.9 ,5.5 ,924.1 ,760 ,28.00 
43.89,480.0 ,0.0 ,0.0 ,192.0 ,0.0 ,936.0 ,721 ,28.00 
57.92,491.0 ,26.0 ,123.0 ,201.0 ,3.9 ,822.0 ,699 ,28.00 
13.54,212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,904 ,3.00 
24.43,251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,758 ,14.00 
21.6,181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,778 ,14.00 
47.81,304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,28.00 
11.17,225.0 ,0.0 ,0.0 ,181.0 ,0.0 ,1113.0 ,833 ,7.00 
31.45,331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,978.0 ,825 ,28.00 
46.68,387.0 ,20.0 ,94.0 ,157.0 ,13.9 ,938.0 ,845 ,28.00 
30.39,213.7 ,98.1 ,24.5 ,181.7 ,6.9 ,1065.8 ,785 ,14.00 
62.94,359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801 ,28.00 
27.94,181.9 ,272.8 ,0.0 ,185.7 ,0.0 ,1012.4 ,714 ,28.00 
49.2,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887 ,7.00 
79.3,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,91.00 
34.29,350.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1050.0 ,770 ,28.00 
40.93,284.0 ,120.0 ,0.0 ,168.0 ,7.0 ,970.0 ,794 ,28.00 
25.57,289.0 ,0.0 ,0.0 ,192.0 ,0.0 ,913.2 ,895 ,28.00 
55.06,342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,270.00 
56.1,439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,708 ,7.00 
17.44,331.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1025.0 ,821 ,7.00 
38.7,310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1012.0 ,830 ,120.00 
50.73,192.0 ,288.0 ,0.0 ,192.0 ,0.0 ,929.8 ,716 ,90.00 
55.94,525.0 ,0.0 ,0.0 ,189.0 ,0.0 ,1125.0 ,613 ,28.00 
24.29,122.6 ,183.9 ,0.0 ,203.5 ,0.0 ,958.2 ,800 ,28.00 
10.54,145.0 ,0.0 ,179.0 ,202.0 ,8.0 ,824.0 ,869 ,28.00 
13.29,135.0 ,0.0 ,166.0 ,180.0 ,10.0 ,961.0 ,805 ,28.00 
47.97,387.0 ,20.0 ,94.0 ,157.0 ,13.9 ,938.0 ,845 ,56.00 
30.88,159.0 ,209.0 ,161.0 ,201.0 ,7.0 ,848.0 ,669 ,28.00 
36.59,133.0 ,200.0 ,0.0 ,192.0 ,0.0 ,927.4 ,839 ,90.00 
33.3,132.0 ,207.0 ,161.0 ,179.0 ,5.0 ,867.0 ,736 ,28.00 
31.27,182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,781 ,28.00 
41.72,198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,826 ,180.00 
12.64,500.0 ,0.0 ,0.0 ,200.0 ,0.0 ,1125.0 ,613 ,1.00 
37.8,475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,782 ,3.00 
9.69,157.0 ,236.0 ,0.0 ,192.0 ,0.0 ,935.4 ,781 ,3.00 
18.03,164.6 ,0.0 ,150.4 ,181.6 ,11.7 ,1023.3 ,729 ,28.00 
50.46,342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,90.00 
43.7,400.0 ,0.0 ,0.0 ,187.0 ,0.0 ,1025.0 ,745 ,28.00 
42.33,190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,90.00 
30.12,305.0 ,0.0 ,100.0 ,196.0 ,10.0 ,959.0 ,705 ,28.00 
37.81,210.7 ,316.1 ,0.0 ,185.7 ,0.0 ,977.0 ,689 ,28.00 
28.6,379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605 ,3.00 
28.24,139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,807 ,28.00 
67.87,250.0 ,180.0 ,95.0 ,159.0 ,9.5 ,860.0 ,800 ,28.00 
10.76,166.1 ,0.0 ,163.3 ,176.5 ,4.5 ,1058.6 ,780 ,3.00 
33.4,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887 ,3.00 
30.57,325.0 ,0.0 ,0.0 ,184.0 ,0.0 ,1063.0 ,783 ,28.00 
48.97,290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865 ,100.00 
43.38,157.0 ,236.0 ,0.0 ,192.0 ,0.0 ,935.4 ,781 ,90.00 
52.01,446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712 ,7.00 
21.86,290.2 ,193.5 ,0.0 ,185.7 ,0.0 ,998.2 ,704 ,7.00 
32.24,273.0 ,0.0 ,90.0 ,199.0 ,11.0 ,931.0 ,762 ,28.00 
8.2,255.0 ,0.0 ,0.0 ,192.0 ,0.0 ,889.8 ,945 ,3.00 
18.28,155.0 ,183.0 ,0.0 ,193.0 ,9.0 ,1047.0 ,697 ,28.00 
56.74,297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,754 ,100.00 
9.45,190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,803 ,3.00 
44.3,238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847 ,100.00 
42.14,288.4 ,121.0 ,0.0 ,177.4 ,7.0 ,907.9 ,830 ,28.00 
65.91,366.0 ,187.0 ,0.0 ,191.0 ,7.0 ,824.0 ,757 ,28.00 
64.3,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887 ,56.00 
25.73,170.3 ,155.5 ,0.0 ,185.7 ,0.0 ,1026.6 ,724 ,28.00 
55.25,446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712 ,56.00 
19.77,252.5 ,0.0 ,0.0 ,185.7 ,0.0 ,1111.6 ,784 ,28.00 
14.54,381.4 ,0.0 ,0.0 ,185.7 ,0.0 ,1104.6 ,784 ,7.00 
55.9,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,7.00 
65.7,424.0 ,22.0 ,132.0 ,178.0 ,8.5 ,822.0 ,750 ,56.00 
18.02,214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,781 ,3.00 
19.69,252.0 ,0.0 ,0.0 ,185.0 ,0.0 ,1111.0 ,784 ,28.00 
